iso_code,continent,location,date,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
NZL,Oceania,New Zealand,2020-03-21,1281,7887,1.6360000371932983,0.26600000262260437,975,0.20200000703334808,7.0000002160668373E-3,148.39999389648438,,,,,,,,,,,58.330001831054688,18.205999374389648,37.900001525878906,15.321999549865723,9.7200002670288086,36085.84375,,128.7969970703125,8.0799999237060547,14.800000190734863,17.200000762939453,,2.6099998950958252,82.290000915527344,0.9309999942779541
NZL,Oceania,New Zealand,2020-03-22,873,8760,1.8170000314712524,0.1809999942779541,1087,0.22499999403953552,1.2000000104308128E-2,80.900001525878906,,,,,,,,,,,58.330001831054688,18.205999374389648,37.900001525878906,15.321999549865723,9.7200002670288086,36085.84375,,128.7969970703125,8.0799999237060547,14.800000190734863,17.200000762939453,,2.6099998950958252,82.290000915527344,0.9309999942779541
NZL,Oceania,New Zealand,2020-03-23,1898,10658,2.2100000381469727,0.39399999380111694,1300,0.27000001072883606,9.9999997764825821E-3,96.800003051757813,,,,,,,,,,,79.629997253417969,18.205999374389648,37.900001525878906,15.321999549865723,9.7200002670288086,36085.84375,,128.7969970703125,8.0799999237060547,14.800000190734863,17.200000762939453,,2.6099998950958252,82.290000915527344,0.9309999942779541
NZL,Oceania,New Zealand,2020-03-24,2192,12850,2.6649999618530273,0.45500001311302185,1482,0.30700001120567322,1.4000000432133675E-2,72.5,,,,,,,,,,,87.040000915527344,18.205999374389648,37.900001525878906,15.321999549865723,9.7200002670288086,36085.84375,,128.7969970703125,8.0799999237060547,14.800000190734863,17.200000762939453,,2.6099998950958252,82.290000915527344,0.9309999942779541
NZL,Oceania,New Zealand,2020-03-25,1952,14802,3.0699999332427979,0.4050000011920929,1616,0.33500000834465027,1.6000000759959221E-2,61.099998474121094,,,,,,,,,,,90.739997863769531,18.205999374389648,37.900001525878906,15.321999549865723,9.7200002670288086,36085.84375,,128.7969970703125,8.0799999237060547,14.800000190734863,17.200000762939453,,2.6099998950958252,82.290000915527344,0.9309999942779541
NZL,Oceania,New Zealand,2020-03-26,2088,16890,3.503000020980835,0.43299999833106995,1717,0.35600000619888306,2.0999999716877937E-2,47.099998474121094,,,,,,,,,,,96.300003051757813,18.205999374389648,37.900001525878906,15.321999549865723,9.7200002670288086,36085.84375,,128.7969970703125,8.0799999237060547,14.800000190734863,17.200000762939453,,2.6099998950958252,82.290000915527344,0.9309999942779541
NZL,Oceania,New Zealand,2020-03-27,1853,18743,3.8870000839233398,0.38400000333786011,1734,0.36000001430511475,2.7000000700354576E-2,36.900001525878906,,,,,,,,,,,96.300003051757813,18.205999374389648,37.900001525878906,15.321999549865723,9.7200002670288086,36085.84375,,128.7969970703125,8.0799999237060547,14.800000190734863,17.200000762939453,,2.6099998950958252,82.290000915527344,0.9309999942779541
NZL,Oceania,New Zealand,2020-03-28,1366,20109,4.1700000762939453,0.28299999237060547,1746,0.3619999885559082,3.2999999821186066E-2,30.600000381469727,,,,,,,,,,,96.300003051757813,18.205999374389648,37.900001525878906,15.321999549865723,9.7200002670288086,36085.84375,,128.7969970703125,8.0799999237060547,14.800000190734863,17.200000762939453,,2.6099998950958252,82.290000915527344,0.9309999942779541
NZL,Oceania,New Zealand,2020-03-29,982,21091,4.374000072479248,0.20399999618530273,1762,0.36500000953674316,3.2999999821186066E-2,29.899999618530273,,,,,,,,,,,96.300003051757813,18.205999374389648,37.900001525878906,15.321999549865723,9.7200002670288086,36085.84375,,128.7969970703125,8.0799999237060547,14.800000190734863,17.200000762939453,,2.6099998950958252,82.290000915527344,0.9309999942779541
NZL,Oceania,New Zealand,2020-03-30,1959,23050,4.7800002098083496,0.40599998831748962,1770,0.36700001358985901,3.9000000804662704E-2,25.399999618530273,,,,,,,,,,,96.300003051757813,18.205999374389648,37.900001525878906,15.321999549865723,9.7200002670288086,36085.84375,,128.7969970703125,8.0799999237060547,14.800000190734863,17.200000762939453,,2.6099998950958252,82.290000915527344,0.9309999942779541
