iso_code,continent,location,date,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ARG,South America,Argentina,2020-01-01,1,1,0,0,,,,,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-02,36,37,1.0000000474974513E-3,1.0000000474974513E-3,,,,,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-03,4,41,1.0000000474974513E-3,0,,,,,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-04,65,106,2.0000000949949026E-3,1.0000000474974513E-3,,,,,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-05,4,110,2.0000000949949026E-3,0,,,,,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-06,46,156,3.0000000260770321E-3,1.0000000474974513E-3,,,,,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-07,24,180,4.0000001899898052E-3,1.0000000474974513E-3,,,6.7000001668930054E-2,14.899999618530273,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-08,,,,,29,1.0000000474974513E-3,,,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-09,,,,,28,1.0000000474974513E-3,,,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-10,77,257,6.0000000521540642E-3,2.0000000949949026E-3,31,1.0000000474974513E-3,4.6999998390674591E-2,21.299999237060547,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-11,,,,,24,1.0000000474974513E-3,,,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-12,36,293,6.0000000521540642E-3,1.0000000474974513E-3,26,1.0000000474974513E-3,2.3000000044703484E-2,43.5,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-13,2,295,7.0000002160668373E-3,0,20,0,2.4000000208616257E-2,41.700000762939453,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-14,,,,,21,0,,,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-15,64,359,8.0000003799796104E-3,1.0000000474974513E-3,22,0,1.6000000759959221E-2,62.5,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-16,1,360,8.0000003799796104E-3,0,18,0,1.6000000759959221E-2,62.5,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-17,,,,,16,0,,,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-18,,,,,15,0,,,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-19,35,395,8.999999612569809E-3,1.0000000474974513E-3,15,0,4.6000000089406967E-2,21.700000762939453,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-20,1,396,8.999999612569809E-3,0,14,0,4.6000000089406967E-2,21.700000762939453,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-21,,,,,10,0,,,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-22,,,,,6,0,,,,,,,,,,,,,0,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-23,,,,,6,0,,,,,,,,,,,,,11.109999656677246,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-24,,,,,5,0,,,,,,,,,,,,,11.109999656677246,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-25,,,,,4,0,,,,,,,,,,,,,11.109999656677246,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-26,,,,,2,0,,,,,,,,,,,,,11.109999656677246,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-27,19,415,8.999999612569809E-3,0,3,0,6.3000001013278961E-2,15.899999618530273,,,,,,,,,,,11.109999656677246,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-28,,,,,2,0,,,,,,,,,,,,,11.109999656677246,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-29,1,416,8.999999612569809E-3,0,2,0,8.9000001549720764E-2,11.199999809265137,,,,,,,,,,,11.109999656677246,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-30,15,431,9.9999997764825821E-3,0,4,0,8.1000000238418579E-2,12.300000190734863,,,,,,,,,,,11.109999656677246,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-01-31,1,432,9.9999997764825821E-3,0,4,0,0.15099999308586121,6.5999999046325684,,,,,,,,,,,11.109999656677246,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-02-01,37,469,9.9999997764825821E-3,1.0000000474974513E-3,8,0,0.10100000351667404,9.8999996185302734,,,,,,,,,,,11.109999656677246,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-02-02,,,,,8,0,,,,,,,,,,,,,11.109999656677246,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-02-03,,,,,8,0,,,,,,,,,,,,,11.109999656677246,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-02-04,,,,,8,0,,,,,,,,,,,,,11.109999656677246,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-02-05,,,,,8,0,,,,,,,,,,,,,11.109999656677246,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-02-06,,,,,6,0,,,,,,,,,,,,,11.109999656677246,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
ARG,South America,Argentina,2020-02-07,,,,,5,0,,,,,,,,,,,,,11.109999656677246,16.177000045776367,31.899999618530273,11.197999954223633,7.4409999847412109,18933.90625,0.60000002384185791,191.03199768066406,5.5,16.200000762939453,27.700000762939453,,5,76.669998168945313,0.84500002861022949
